comportamento_clean,comportamento_canonico,canonical_behavior_id,comportamento_famiglia_originale,comportamento_famiglia,comportamento_famiglia_v2,comportamento_sottofamiglia_v2,meccanismo_rischio_v2,presidio_v2,severity_rank_v2,taxonomy_source,taxonomy_confidence,comportamento_tipo,row_count_kept,raw_variants_count,raw_variants,canonical_cluster_size,canonical_row_count_total,old_family_conflict,old_families_cluster,merge_source,merge_confidence,merge_note,review_flag
Occhiali di protezione,Occhiali di protezione,BEH_OCCHIALI_DI_PROTEZIONE_73FAD8,DPI occhi / viso,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI occhi / viso,Proiezione / schizzi / danno occhi-viso,Uso corretto DPI occhi-viso,2,rule_v2,high,behavior,21794,5,Occhiali di protezione | Occhiali di protezione o visiera | Occhiali di protezione per saldatura ossiacetilenica | Usa gli occhiali di protezione | Usa gli occhiali di protezione per saldatura ossiacetilenica,2,21819,no,DPI occhi / viso,semantic_rule,high,Accorpa formulazioni equivalenti degli occhiali di protezione.,
Occhiali di protezione,Occhiali di protezione,BEH_OCCHIALI_DI_PROTEZIONE_73FAD8,DPI occhi / viso,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI occhi / viso,Proiezione / schizzi / danno occhi-viso,Uso corretto DPI occhi-viso,2,rule_v2,high,message,25,1,"22/04/2024 - Caro Osservatore, dalle ultime segnalazioni SMAT AUDIT, è emerso che un collega non utilizzava gli occhiali protettivi sulle macchine Faro durante l'uso dell'aria compressa . Per evitare di farsi male in questa attività, ti chiediamo di potenziare le osservazioni dell' attività USO ARIA COMPRESSA e usare il feedback positivo per rinforzare i colleghi sulle loro buone abitudini o il feedback correttivo per ricordare loro i comportamenti sicuri da agire : - Uso occhiali di protezione (o sovraocchiali se non è dotato dell'occhiale graduato) - Uso otoprotettori - Rivolgere il getto d'aria sul pezzo o sul posaggio, non puntarlo verso di sé o altre persone Grazie per la tua collaborazione!",2,21819,no,DPI occhi / viso,semantic_rule,high,Accorpa formulazioni equivalenti degli occhiali di protezione.,
Area o postazione in ordine,Area o postazione in ordine,BEH_AREA_O_POSTAZIONE_IN_ORDINE_29CF73,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,rule_v2,high,behavior,17080,15,"L'area di lavoro è in ordine | L'area di lavoro è in ordine - Logistica | L'area di lavoro è in ordine - Manutenzione | L'area di lavoro è in ordine - Saldatura | L'area di lavoro è in ordine - Stamperia Metallo | L'area di lavoro è in ordine - Stamperia Plastica - 5 Minuti/Tradizionale | La postazione di lavoro (macchina, carrello o banco) è in ordine | La postazione di lavoro (macchina, carrello o banco) è in ordine - Logistica | La postazione di lavoro (macchina, carrello o banco) è in ordine - Manutenzione | La postazione di lavoro (macchina, carrello o banco) è in ordine - Presse | La postazione di lavoro (macchina, carrello o banco) è in ordine - Saldatura | La postazione di lavoro (macchina, carrello o banco) è in ordine - Stamperia Metallo | La postazione di lavoro (macchina, carrello o banco) è in ordine - Stamperia Plastica - 5 Minuti/Tradizionale | La postazione di lavoro è in ordine | La scrivania/postazione di lavoro è in ordine",1,17080,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Scarpe basse e chiuse,Scarpe basse e chiuse,BEH_SCARPE_BASSE_E_CHIUSE_1E6DDD,DPI piedi / abbigliamento,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI piedi / calzature,Urto / schiacciamento / scivolamento piede,Uso calzature idonee,2,rule_v2,high,behavior,15762,5,"Il personale esterno al reparto, indossa scarpe basse e chiuse | Indossa scarpe basse e chiuse | Indossa scarpe basse e chiuse - Laser e Controllo | Indossa scarpe basse e chiuse - Lavaggio | Indossa scarpe basse e chiuse - Pulitura",1,15762,no,DPI piedi / abbigliamento,self,self,Nessun alias identificato.,
Le vie di fuga e le porte tagliafuoco sono sgombre,Le vie di fuga e le porte tagliafuoco sono sgombre,BEH_LE_VIE_DI_FUGA_E_LE_PORTE_TAGLIAFUOCO_SONO_SGOMBRE_A5D7E8,Emergenza / Elettrico / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Vie di fuga / porte tagliafuoco,Ostruzione esodo / emergenza,Vie di fuga e porte sgombre,1,rule_v2,high,behavior,13667,1,Le vie di fuga e le porte tagliafuoco sono sgombre,3,13898,no,Emergenza / Elettrico / Vie di fuga,semantic_rule,high,Accorpa varianti su vie di fuga e porte tagliafuoco sgombre.,
Le vie di fuga e le porte tagliafuoco sono sgombre - Logistica,Le vie di fuga e le porte tagliafuoco sono sgombre,BEH_LE_VIE_DI_FUGA_E_LE_PORTE_TAGLIAFUOCO_SONO_SGOMBRE_A5D7E8,Emergenza / Elettrico / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Vie di fuga / porte tagliafuoco,Ostruzione esodo / emergenza,Vie di fuga e porte sgombre,1,rule_v2,high,behavior,213,1,Le vie di fuga e le porte tagliafuoco sono sgombre - Logistica,3,13898,no,Emergenza / Elettrico / Vie di fuga,semantic_rule,high,Accorpa varianti su vie di fuga e porte tagliafuoco sgombre.,
Le vie di fuga e le porte taglia fuoco sono sgombre,Le vie di fuga e le porte tagliafuoco sono sgombre,BEH_LE_VIE_DI_FUGA_E_LE_PORTE_TAGLIAFUOCO_SONO_SGOMBRE_A5D7E8,Emergenza / Elettrico / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Vie di fuga / porte tagliafuoco,Ostruzione esodo / emergenza,Vie di fuga e porte sgombre,1,rule_v2,high,behavior,18,1,Le vie di fuga e le porte taglia fuoco sono sgombre,3,13898,no,Emergenza / Elettrico / Vie di fuga,semantic_rule,high,Accorpa varianti su vie di fuga e porte tagliafuoco sgombre.,
Pavimento pulito e asciutto,Pavimento pulito e asciutto,BEH_PAVIMENTO_PULITO_E_ASCIUTTO_4C8172,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Pavimenti / asciutto / segnalazione bagnato,Scivolamento / caduta in piano,Pulizia pavimento e segnalazione,3,rule_v2,high,behavior,13013,4,"Il pavimento è pulito e asciutto | Il pavimento è pulito e asciutto - Buratti | Il pavimento è pulito e asciutto - Saldatura | Il pavimento è pulito, asciutto e non presenta residui di materiale",1,13013,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Quadri elettrici visibili e accessibili,Quadri elettrici visibili e accessibili,BEH_QUADRI_ELETTRICI_VISIBILI_E_ACCESSIBILI_FA383F,Emergenza / Elettrico / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Quadri elettrici / cavi / accessibilità,Contatto elettrico / impossibilità intervento,Accessibilità e chiusura presidi elettrici,1,rule_v2,high,behavior,12945,2,I quadri elettrici sono accessibili | I quadri elettrici sono visibili e raggiungibili,1,12945,no,Emergenza / Elettrico / Vie di fuga,self,self,Nessun alias identificato.,
Le dotazioni antincendio sono visibili e raggiungibili,Le dotazioni antincendio sono visibili e raggiungibili,BEH_LE_DOTAZIONI_ANTINCENDIO_SONO_VISIBILI_E_RAGGIUNGIBILI_7E99BE,Emergenza / Elettrico / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Elettrico / Emergenza / Vie di fuga,Presidi antincendio / primo intervento,Ritardo gestione emergenza,Visibilità e raggiungibilità presidi,1,rule_v2,high,behavior,12757,1,Le dotazioni antincendio sono visibili e raggiungibili,1,12757,no,Emergenza / Elettrico / Vie di fuga,self,self,Nessun alias identificato.,
